Year,Score,Count,Percent
2013,Mostly True,15,26.31578947368421
2013,Half-True,13,22.807017543859647
2013,False,10,17.543859649122805
2013,True,9,15.789473684210526
2013,Mostly False,8,14.035087719298245
2013,Pants on Fire!,2,3.508771929824561
2014,False,70,21.671826625387
2014,Mostly True,64,19.814241486068113
2014,Half-True,56,17.3374613003096
2014,Mostly False,56,17.3374613003096
2014,Pants on Fire!,41,12.693498452012383
2014,True,36,11.145510835913312
2015,False,39,19.306930693069308
2015,Half-True,38,18.81188118811881
2015,Mostly True,36,17.82178217821782
2015,Mostly False,34,16.831683168316832
2015,True,30,14.85148514851485
2015,Pants on Fire!,25,12.376237623762377
2016,Pants on Fire!,21,27.27272727272727
2016,False,19,24.675324675324674
2016,Mostly False,13,16.883116883116884
2016,Mostly True,11,14.285714285714285
2016,Half-True,8,10.38961038961039
2016,True,5,6.493506493506493
2017,Pants on Fire!,203,73.02158273381295
2017,False,40,14.388489208633093
2017,Mostly False,16,5.755395683453238
2017,Half-True,9,3.237410071942446
2017,Mostly True,7,2.5179856115107913
2017,True,3,1.079136690647482
2018,Pants on Fire!,118,51.30434782608696
2018,False,59,25.65217391304348
2018,Mostly False,19,8.26086956521739
2018,Half-True,16,6.956521739130435
2018,Mostly True,10,4.3478260869565215
2018,True,7,3.0434782608695654
2018,Full Flop,1,0.43478260869565216
2019,False,7,36.84210526315789
2019,Mostly False,5,26.31578947368421
2019,Half-True,3,15.789473684210526
2019,Mostly True,2,10.526315789473683
2019,Pants on Fire!,1,5.263157894736842
2019,True,1,5.263157894736842
